source_id,title,authors,organization,publication,year,publication_date,source_type,peer_reviewed,evidence_grade,url,doi,access_date,notes
stanford2026aiindex,AI Index Report 2026,Stanford Institute for Human-Centered Artificial Intelligence,Stanford University,AI Index,2026,2026-01-01,institutional_report,false,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,Not available,2026-07-22,"Compiles third-party evaluation results; graded B as an institutional compilation rather than an original measurement. Publication date recorded as the first of the month: only the year is stated. Footnotes 1, 7, and 12 of the source review."
fan2026halluhard,HalluHard: A hard multi-turn hallucination benchmark,"Fan, D.; Delsad, S.; Flammarion, N.; Andriushchenko, M.",Not publicly disclosed,arXiv preprint,2026,2026-02-01,preprint,false,B,https://arxiv.org/abs/2602.01031,Not available,2026-07-22,arXiv:2602.01031. Date inferred from the identifier and recorded as the first of the month. Footnotes 2 and 24.
rando2025longcodebench,LongCodeBench: Evaluating coding LLMs at 1M context windows,"Rando, S.; and others",Not publicly disclosed,arXiv preprint,2025,2025-05-01,preprint,false,B,https://arxiv.org/abs/2505.07897,Not available,2026-07-22,arXiv:2505.07897. Author list recorded as published in the source review and must be expanded from the paper. Footnotes 3 and 31.
crfm2025helmlongcontext,HELM Long Context,Stanford Center for Research on Foundation Models,Stanford University,HELM,2025,2025-01-01,benchmark_methodology,false,A,https://crfm.stanford.edu/helm/long-context/latest/,Not available,2026-07-22,Maintainer-run standardised evaluation under a published protocol. Footnotes 4 and 30.
fernandez2025energy,Energy considerations of large language model inference and efficiency optimizations,"Fernandez, J.; Na, C.; Tiwari, V.; Bisk, Y.; Luccioni, S.; Strubell, E.",Carnegie Mellon University; Hugging Face,Proceedings of ACL 2025,2025,2025-07-01,peer_reviewed,true,A,https://aclanthology.org/2025.acl-long.1563/,Not available,2026-07-22,Pages 32556 to 32569. Footnotes 5 and 35.
oviedo2026energy,Energy use of AI inference: Efficiency pathways and test-time compute,"Oviedo, F.; Kazhamiaka, F.; Choukse, E.; Kim, A.; Luers, A.; Nakagawa, M.; Bianchini, R.; Lavista Ferres, J. M.",Microsoft Research,Joule,2026,2026-01-01,peer_reviewed,true,A,https://www.sciencedirect.com/science/article/pii/S2542435126001145,Not available,2026-07-22,"Preprint issued as Microsoft Research 2025. Analytical estimates, not measurements of a named commercial service. Footnotes 6 and 36."
crfm2026helmcapabilities,HELM Capabilities,Stanford Center for Research on Foundation Models,Stanford University,HELM,2026,2026-01-01,benchmark_methodology,false,A,https://crfm.stanford.edu/helm/capabilities/latest/,Not available,2026-07-22,Maintainer-run standardised evaluation. Footnotes 8 and 10.
liang2022holistic,Holistic evaluation of language models,"Liang, P.; and others",Stanford University,arXiv preprint,2022,2022-11-01,preprint,false,B,https://arxiv.org/abs/2211.09110,Not available,2026-07-22,arXiv:2211.09110. Later published in Transactions on Machine Learning Research; the review cites the preprint. Footnote 9.
asirvatham2026gpt,GPT as a measurement tool,"Asirvatham, H.; and others",Harvard University,Working paper,2026,2026-02-01,institutional_report,false,B,https://shleifer.scholars.harvard.edu/sites/g/files/omnuum10626/files/2026-02/Paper%20PDF%20(February%202026).pdf,Not available,2026-07-22,Cited for judge bias in LLM-as-a-judge evaluation. Footnote 11.
bench3602025local,Bench360: Benchmarking local LLM inference from 360 degrees,Bench360 authors,Not publicly disclosed,arXiv preprint,2025,2025-11-01,preprint,false,B,https://arxiv.org/abs/2511.16682,Not available,2026-07-22,arXiv:2511.16682. Corporate author recorded as stated in the review; individual authors must be taken from the paper. Footnote 13.
seas2025edge,Generative AI at the edge: Challenges and opportunities,Harvard John A. Paulson School of Engineering and Applied Sciences,Harvard University,News and research summary,2025,2025-01-01,institutional_report,false,B,https://seas.harvard.edu/news/generative-ai-edge-challenges-and-opportunities,Not available,2026-07-22,Footnote 14.
deepseek2026preview,DeepSeek V4 Preview release,DeepSeek,DeepSeek,Web,2026,2026-04-24,technical_report,false,B,https://api-docs.deepseek.com/news/news260424/,Not available,2026-07-22,Discloses total and active parameter counts. Footnotes 15 and 51.
